SHC will run under the following conditions:
******************************************
Rating category: TE-depth
Rating all puzzles in this file: examples/TE-input.txt
Output file: examples/TE-output.txt
WARNING: file  examples/TE-output.txt  already exists.
Puzzle 87  T&E-depth = 1  Time = 0s  Cumulated time = 1s
Puzzle 88  T&E-depth = 1  Time = 0s  Cumulated time = 1s
Puzzle 89  T&E-depth = 1  Time = 0s  Cumulated time = 1s
Puzzle 90  T&E-depth = 1  Time = 0s  Cumulated time = 1s
Puzzle 91  T&E-depth = 1  Time = 0s  Cumulated time = 1s
Puzzle 92  T&E-depth = 1  Time = 0s  Cumulated time = 1s
Puzzle 93  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 94  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 95  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 96  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 97  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 98  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 99  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 100  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 101  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 102  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 103  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 104  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 105  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 106  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 107  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 108  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 109  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 110  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 111  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 112  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 113  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 114  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 115  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 116  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 117  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 118  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 119  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 120  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 121  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 122  T&E-depth = 2  Time = 0s  Cumulated time = 1s
Puzzle 123  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 124  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 125  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 126  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 127  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 128  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 129  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 130  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 131  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 132  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 133  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 134  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 135  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 136  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 137  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 138  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 139  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 140  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 141  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 142  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 143  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 144  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 145  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 146  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 147  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 148  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 149  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 150  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 151  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 152  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 153  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 154  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 155  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 156  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 157  T&E-depth = 2  Time = 0s  Cumulated time = 2s
Puzzle 158  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 159  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 160  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 161  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 162  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 163  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 164  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 165  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 166  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 167  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 168  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 169  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 170  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 171  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 172  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 173  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 174  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 175  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 176  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 177  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 178  T&E-depth = 2  Time = 0s  Cumulated time = 3s
Puzzle 179  T&E-depth = 2  Time = 0s  Cumulated time = 3s
